,Unit No.,Tower Name,Status,Last Contract End Date,Days Vacant,Last Known Rent,Sale Date (if any)
175,4707,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-12-16,536.0,172500,
93,3701,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-12-31,521.0,155000,
159,4509,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-01-11,510.0,65000,
74,3411,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-01-14,507.0,65000,
221,5208,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-01-19,502.0,190000,
233,5313,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-01-31,490.0,105000,
158,4508,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-02,488.0,200000,
183,4804,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-03,487.0,155000,
286,6011,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-17,473.0,65000,
285,6008,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-20,470.0,110000,
2,2604,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-21,469.0,125000,
13,2706,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-02-23,467.0,190000,
27,2811,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-03-07,454.0,170000,
205,5101,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-03-09,452.0,160000,
62,3301,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-03-10,451.0,69926,
160,4510,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-03-24,437.0,118000,
252,5610,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-03-28,433.0,140000,
